CASEID,PAGO,PAGO5,PEXP,PEXP5,AGE,SEX,MARRY,NUMKID
12751,3,3,8,3,43,1,1,2
12752,1,1,1,1,82,2,4,0
12753,1,1,1,1,22,1,1,1
12754,5,5,5,5,58,2,1,0
12755,1,5,1,1,20,2,5,2
12756,5,1,5,1,28,2,1,2
12758,5,1,1,3,33,1,1,2
12759,1,1,1,1,36,1,1,1
12762,1,1,1,9,53,1,3,0
12763,5,5,1,1,28,2,5,0
12764,5,3,3,3,81,1,4,0
12765,3,1,1,1,37,2,1,1
12766,1,1,3,3,19,2,5,0
12767,5,1,8,3,73,1,1,0
12768,1,1,3,5,23,1,1,0
12769,3,3,8,3,85,2,4,0
12770,5,9,3,3,64,2,1,0
12771,1,3,5,1,63,1,3,0
12772,5,5,1,1,23,2,3,3
12775,5,5,5,5,67,2,1,0
12776,1,5,1,1,22,1,1,1
12777,1,1,3,1,32,1,1,1
12779,1,1,5,5,39,2,1,2
12780,1,1,1,1,43,2,1,5
12781,3,1,8,5,59,2,1,0
12782,3,5,5,5,74,2,4,0
12783,1,1,1,1,29,2,1,1
12784,3,1,3,3,65,2,1,0
12785,1,1,3,3,21,2,3,1
12786,1,8,8,8,86,2,4,0
12789,1,5,3,3,27,1,5,0
12790,1,3,1,1,33,2,1,5
12791,5,5,5,5,59,2,4,0
12792,1,1,3,5,34,1,1,2
12793,3,5,3,5,34,1,1,1
12794,3,1,3,1,30,2,5,1
12795,5,1,3,3,65,2,4,0
12796,5,5,5,3,41,2,3,1
12797,1,1,1,1,39,1,1,4
12798,1,1,3,3,26,1,1,0
12799,5,3,5,1,39,2,3,0
12800,1,1,3,1,20,2,5,1
12801,3,5,1,1,65,1,1,0
12802,3,3,5,8,51,2,1,1
12803,5,5,5,5,21,2,1,3
12804,3,1,3,3,70,2,1,0
12805,3,1,1,3,64,1,1,0
12806,3,1,3,3,70,2,4,0
12807,3,1,3,3,36,1,1,2
12808,1,1,3,1,60,2,1,0
12809,1,1,1,3,44,1,3,0
12810,5,5,3,1,32,2,5,0
12811,1,1,3,3,26,2,1,2
12812,3,1,1,1,22,2,1,2
12813,5,5,3,5,60,1,1,0
12814,1,1,3,3,57,1,5,0
12815,3,1,3,3,81,1,4,0
12816,5,1,3,1,23,2,3,0
12817,5,1,3,8,79,2,4,0
12818,3,1,3,8,69,2,1,0
12819,3,3,3,1,43,2,3,4
12820,3,3,1,1,52,1,1,0
12821,3,1,1,1,30,2,1,2
12822,1,1,1,1,30,2,1,1
12823,1,1,3,3,29,2,5,1
12824,1,1,3,3,25,2,1,1
12825,3,1,1,1,20,2,5,0
12826,5,3,3,1,36,1,1,2
12827,1,9,1,1,27,2,1,1
12828,3,1,5,1,43,2,1,2
12829,1,1,3,3,25,2,1,2
12830,1,1,1,1,40,1,1,0
12831,5,5,3,3,48,1,1,2
